site_id,date,year,kwh_elec,kwh_gas,avg_temp
S028,2025-01-08,2025,0.00,0.00,0.65
S029,2025-01-08,2025,0.00,0.00,4.01
S030,2025-01-08,2025,0.00,0.00,0.22
S001,2025-01-09,2025,152.04,271.64,2.72
S002,2025-01-09,2025,109.37,246.43,4.89
S003,2025-01-09,2025,875.75,787.62,4.86
S004,2025-01-09,2025,197.72,472.24,0.05
S005,2025-01-09,2025,145.63,223.84,4.47
S006,2025-01-09,2025,141.10,416.20,3.05
S007,2025-01-09,2025,827.38,951.15,1.05
S008,2025-01-09,2025,29.99,60.36,4.75
S009,2025-01-09,2025,127.38,172.52,3.89
S010,2025-01-09,2025,237.37,558.00,3.63
S011,2025-01-09,2025,852.96,715.37,4.53
S012,2025-01-09,2025,67.63,171.91,0.03
S013,2025-01-09,2025,50.07,79.29,3.73
S014,2025-01-09,2025,221.62,736.94,0.19
S015,2025-01-09,2025,645.55,624.15,3.88
S016,2025-01-09,2025,50.96,113.89,1.41
S017,2025-01-09,2025,invalid,72.32,4.47
S018,2025-01-09,2025,113.73,373.67,-0.12
S019,2025-01-09,2025,1189.52,1087.86,3.02
S020,2025-01-09,2025,73.07,179.99,-0.48
S021,2025-01-09,2025,114.40,175.59,4.32
S022,2025-01-09,2025,127.37,300.08,1.36
S023,2025-01-09,2025,619.20,776.27,-0.74
S024,2025-01-09,2025,43.89,83.73,3.64
S025,2025-01-09,2025,182.75,245.85,3.91
S026,2025-01-09,2025,92.57,178.29,4.60
S027,2025-01-09,2025,825.10,887.56,2.08
S028,2025-01-09,2025,0.00,0.00,0.44
S029,2025-01-09,2025,0.00,0.00,-0.81
S030,2025-01-09,2025,0.00,0.00,2.49
S001,2025-01-10,2025,182.17,265.90,2.90
S002,2025-01-10,2025,111.19,271.21,4.70
S003,2025-01-10,2025,850.03,982.88,0.03
S004,2025-01-10,2025,187.24,354.56,4.68
S005,2025-01-10,2025,135.34,295.10,-0.56
S006,2025-01-10,2025,147.65,464.70,0.56
S007,2025-01-10,2025,803.39,865.59,2.55
S008,2025-01-10,2025,32.26,66.05,2.49
S009,2025-01-10,2025,131.30,226.31,-0.23
S010,2025-01-10,2025,236.00,649.68,0.72
S011,2025-01-10,2025,892.74,930.84,2.19
S012,2025-01-10,2025,79.17,186.52,-0.46
S013,2025-01-10,2025,56.20,113.15,-0.44
S014,2025-01-10,2025,224.59,631.51,3.37
S015,2025-01-10,2025,720.78,820.71,0.21
S016,2025-01-10,2025,55.35,102.53,3.21
S017,2025-01-10,2025,43.11,98.10,0.70
S018,2025-01-10,2025,133.72,275.41,4.03
S019,2025-01-10,2025,1015.03,994.74,4.78
S020,2025-01-10,2025,72.01,138.07,3.43
S021,2025-01-10,2025,117.00,183.59,3.09
S022,2025-01-10,2025,112.07,281.31,4.01
S023,2025-01-10,2025,655.82,700.18,2.34
S024,2025-01-10,2025,41.84,109.24,-0.51
S025,2025-01-10,2025,192.73,304.14,2.78
S026,2025-01-10,2025,87.29,258.80,-0.01
S027,2025-01-10,2025,835.41,1053.30,-0.06
S028,2025-01-10,2025,0.00,0.00,-0.91
S029,2025-01-10,2025,0.00,0.00,2.00
S030,2025-01-10,2025,0.00,0.00,5.05
S001,2025-01-11,2025,107.60,197.66,0.77
S002,2025-01-11,2025,64.28,213.65,0.70
S003,2025-01-11,2025,602.79,620.55,2.24
S004,2025-01-11,2025,109.88,228.64,2.25
S005,2025-01-11,2025,80.23,175.93,0.02
S006,2025-01-11,2025,88.86,294.37,0.26
S007,2025-01-11,2025,510.74,532.84,1.29
S008,2025-01-11,2025,17.24,35.23,3.85
S009,2025-01-11,2025,71.18,125.82,1.47
S010,2025-01-11,2025,139.65,431.03,0.37
S011,2025-01-11,2025,512.72,505.07,4.07
S012,2025-01-11,2025,44.11,87.05,3.12
S013,2025-01-11,2025,34.76,56.00,1.70
S014,2025-01-11,2025,151.32,309.49,4.57
S015,2025-01-11,2025,424.32,500.05,-0.01
S016,2025-01-11,2025,31.74,78.05,-0.53
S017,2025-01-11,2025,32.93,59.81,1.32
S018,2025-01-11,2025,68.64,207.47,1.68
S019,2025-01-11,2025,754.44,798.29,-0.51
S020,2025-01-11,2025,43.46,81.22,3.56
S021,2025-01-11,2025,68.96,157.12,-0.80
S022,2025-01-11,2025,73.68,198.32,1.99
S023,2025-01-11,2025,436.93,476.12,0.43
S024,2025-01-11,2025,25.53,60.39,-0.84
S025,2025-01-11,2025,112.22,195.47,1.49
S026,2025-01-11,2025,54.62,165.35,1.33
S027,2025-01-11,2025,471.88,557.41,-0.45
S028,2025-01-11,2025,0.00,0.00,-0.23
S029,2025-01-11,2025,0.00,0.00,0.40
S030,2025-01-11,2025,0.00,0.00,0.07
S001,2025-01-12,2025,94.70,199.36,0.70
S002,2025-01-12,2025,73.68,163.30,4.20
S003,2025-01-12,2025,573.55,503.35,3.39
S004,2025-01-12,2025,127.83,212.50,4.46
S005,2025-01-12,2025,99.80,148.70,2.44
S006,2025-01-12,2025,89.14,245.66,3.31
S007,2025-01-12,2025,518.45,534.72,2.57
S008,2025-01-12,2025,19.80,42.17,3.12
S009,2025-01-12,2025,68.80,133.29,2.73
S010,2025-01-12,2025,152.53,449.57,0.65
S011,2025-01-12,2025,581.86,458.11,3.30
S012,2025-01-12,2025,41.31,84.00,3.70
S013,2025-01-12,2025,30.34,68.95,0.27
S014,2025-01-12,2025,141.89,372.95,2.38
S015,2025-01-12,2025,412.78,510.49,-0.92
S016,2025-01-12,2025,31.47,65.23,2.13
S017,2025-01-12,2025,26.55,57.01,1.06
S018,2025-01-12,2025,77.76,241.61,-0.78
S019,2025-01-12,2025,700.07,671.49,1.80
S020,2025-01-12,2025,42.71,89.62,0.96
S021,2025-01-12,2025,77.38,112.69,4.12
S022,2025-01-12,2025,71.45,216.42,0.10
S023,2025-01-12,2025,370.94,487.56,-0.79
S024,2025-01-12,2025,23.61,52.89,1.28
S025,2025-01-12,2025,115.26,196.20,1.62
S026,2025-01-12,2025,56.21,136.67,2.64
S027,2025-01-12,2025,555.68,497.02,4.08
S028,2025-01-12,2025,0.00,0.00,1.68
S029,2025-01-12,2025,0.00,0.00,3.05
S030,2025-01-12,2025,0.00,0.00,2.30
S001,2025-01-13,2025,172.22,265.17,3.90
S002,2025-01-13,2025,97.05,280.13,2.80
S003,2025-01-13,2025,937.17,983.37,1.37
S004,2025-01-13,2025,175.85,376.02,1.35
S005,2025-01-13,2025,153.58,244.04,3.53
S006,2025-01-13,2025,147.54,416.76,2.70
S007,2025-01-13,2025,750.95,968.39,-0.16
S008,2025-01-13,2025,30.92,66.12,2.19
S009,2025-01-13,2025,117.94,243.36,-0.49
S010,2025-01-13,2025,242.14,749.56,1.05
S011,2025-01-13,2025,854.27,815.09,2.47
S012,2025-01-13,2025,80.09,156.85,2.64
S013,2025-01-13,2025,46.94,91.93,2.70
S014,2025-01-13,2025,215.18,672.24,1.54
S015,2025-01-13,2025,619.45,621.16,3.86
S016,2025-01-13,2025,47.49,100.74,3.75
S017,2025-01-13,2025,49.31,100.29,0.39
S018,2025-01-13,2025,117.51,341.53,0.94
S019,2025-01-13,2025,1122.22,1060.82,2.65
S020,2025-01-13,2025,78.75,186.24,-0.16
S021,2025-01-13,2025,108.62,200.90,3.03
S022,2025-01-13,2025,109.66,355.92,-0.88
S023,2025-01-13,2025,735.84,590.02,4.37
S024,2025-01-13,2025,42.78,92.28,-0.32
S025,2025-01-13,2025,180.23,365.66,0.12
S026,2025-01-13,2025,85.47,244.28,0.19
S027,2025-01-13,2025,753.30,897.31,0.39
S028,2025-01-13,2025,0.00,0.00,1.93
S029,2025-01-13,2025,0.00,0.00,1.79
S030,2025-01-13,2025,0.00,0.00,-0.59
S001,2025-01-14,2025,163.93,287.05,1.63
S002,2025-01-14,2025,97.80,285.36,3.68
S003,2025-01-14,2025,893.97,962.13,0.55
S004,2025-01-14,2025,207.14,361.83,3.17
S005,2025-01-14,2025,138.45,292.95,-0.52
S006,2025-01-14,2025,153.56,345.92,4.20
S007,2025-01-14,2025,821.71,754.80,2.52
S008,2025-01-14,2025,27.98,66.22,2.00
S009,2025-01-14,2025,114.74,181.59,4.33
S010,2025-01-14,2025,257.50,725.80,0.37
S011,2025-01-14,2025,945.96,899.27,0.01
S012,2025-01-14,2025,80.78,146.92,1.54
S013,2025-01-14,2025,55.58,80.50,3.81
S014,2025-01-14,2025,239.32,712.75,1.80
S015,2025-01-14,2025,645.35,737.99,0.83
S016,2025-01-14,2025,46.82,95.69,4.78
S017,2025-01-14,2025,49.51,80.10,1.87
S018,2025-01-14,2025,136.96,345.88,1.76
S019,2025-01-14,2025,1043.70,1032.20,2.79
S020,2025-01-14,2025,72.44,151.77,0.14
S021,2025-01-14,2025,117.55,219.96,1.74
S022,2025-01-14,2025,116.18,361.29,-0.25
S023,2025-01-14,2025,702.64,528.82,4.47
S024,2025-01-14,2025,41.29,92.65,0.25
S025,2025-01-14,2025,194.59,342.81,0.10
S026,2025-01-14,2025,90.98,256.70,-0.60
S027,2025-01-14,2025,835.48,916.10,-0.92
S028,2025-01-14,2025,0.00,0.00,1.27
S029,2025-01-14,2025,0.00,0.00,2.93
S030,2025-01-14,2025,0.00,0.00,1.63
S001,2025-01-15,2025,156.39,288.05,3.27
S002,2025-01-15,2025,110.92,244.76,4.72
S003,2025-01-15,2025,25991.81,9886.85,3.50
S004,2025-01-15,2025,178.40,326.84,4.99
S005,2025-01-15,2025,138.34,302.99,-0.71
S006,2025-01-15,2025,135.58,407.59,1.55
S007,2025-01-15,2025,invalid,851.33,1.34
S008,2025-01-15,2025,31.50,71.14,0.48
S009,2025-01-15,2025,108.98,190.27,2.84
S010,2025-01-15,2025,227.61,679.24,1.93
S011,2025-01-15,2025,896.74,941.03,0.45
S012,2025-01-15,2025,70.21,186.35,0.59
S013,2025-01-15,2025,51.98,93.70,0.60
S014,2025-01-15,2025,226.31,682.17,0.11
S015,2025-01-15,2025,673.42,663.48,0.81
S016,2025-01-15,2025,45.00,123.32,0.73
S017,2025-01-15,2025,43.87,80.82,2.94
S018,2025-01-15,2025,124.36,355.96,2.55
S019,2025-01-15,2025,980.56,1048.51,1.51
S020,2025-01-15,2025,72.03,146.61,1.57
S021,2025-01-15,2025,136.20,223.33,-0.04
S022,2025-01-15,2025,112.49,356.62,-0.08
S023,2025-01-15,2025,686.30,602.98,4.58
S024,2025-01-15,2025,41.30,81.74,2.49
S025,2025-01-15,2025,189.30,287.90,4.25
S026,2025-01-15,2025,76.01,221.53,2.95
S027,2025-01-15,2025,751.48,932.37,0.66
S028,2025-01-15,2025,0.00,0.00,2.30
S029,2025-01-15,2025,0.00,0.00,2.03
S030,2025-01-15,2025,0.00,0.00,0.44
S001,2025-01-16,2025,166.74,315.07,0.31
S002,2025-01-16,2025,108.65,340.56,1.29
S003,2025-01-16,2025,994.24,874.49,2.66
S004,2025-01-16,2025,192.88,429.88,2.23
S005,2025-01-16,2025,143.52,284.16,1.18
S006,2025-01-16,2025,160.03,403.64,1.05
S007,2025-01-16,2025,755.71,732.34,2.24
S008,2025-01-16,2025,32.36,67.57,2.28
S009,2025-01-16,2025,126.91,212.94,2.50
S010,2025-01-16,2025,220.32,546.43,3.14
S011,2025-01-16,2025,845.83,884.56,0.51
S012,2025-01-16,2025,75.98,138.97,3.74
S013,2025-01-16,2025,52.55,86.89,1.67
S014,2025-01-16,2025,227.61,572.78,2.91
S015,2025-01-16,2025,703.33,607.17,2.42
S016,2025-01-16,2025,54.31,90.50,4.50
S017,2025-01-16,2025,49.37,67.14,4.47
S018,2025-01-16,2025,135.58,282.31,4.41
S019,2025-01-16,2025,1214.55,896.05,4.72
S020,2025-01-16,2025,65.01,172.05,0.40
S021,2025-01-16,2025,110.74,226.88,0.64
S022,2025-01-16,2025,117.99,323.31,0.53
S023,2025-01-16,2025,758.15,603.77,2.54
S024,2025-01-16,2025,39.88,88.52,0.11
S025,2025-01-16,2025,169.27,287.44,3.95
S026,2025-01-16,2025,88.22,262.81,0.18
S027,2025-01-16,2025,760.82,944.40,0.54
S028,2025-01-16,2025,0.00,0.00,-0.18
S029,2025-01-16,2025,0.00,0.00,2.06
S030,2025-01-16,2025,0.00,0.00,-0.70
S001,2025-01-17,2025,170.80,345.43,-0.50
S002,2025-01-17,2025,111.55,311.28,-0.18
S003,2025-01-17,2025,884.36,803.99,4.65
S004,2025-01-17,2025,206.29,414.75,2.61
S005,2025-01-17,2025,144.72,295.10,-0.15
S006,2025-01-17,2025,161.60,325.58,4.99
S007,2025-01-17,2025,865.38,695.68,4.00
S008,2025-01-17,2025,32.53,76.61,0.03
S009,2025-01-17,2025,117.93,226.59,1.52
S010,2025-01-17,2025,245.07,642.12,1.74
S011,2025-01-17,2025,787.39,940.78,1.55
S012,2025-01-17,2025,74.35,183.78,0.46
S013,2025-01-17,2025,49.69,115.81,-0.26
S014,2025-01-17,2025,212.16,794.37,0.29
S015,2025-01-17,2025,649.30,658.50,2.00
S016,2025-01-17,2025,47.95,92.06,4.75
S017,2025-01-17,2025,42.85,94.73,-0.49
S018,2025-01-17,2025,117.42,321.01,2.64
S019,2025-01-17,2025,1022.66,1197.27,2.14
S020,2025-01-17,2025,67.90,120.07,4.84
S021,2025-01-17,2025,113.10,214.15,1.95
S022,2025-01-17,2025,115.42,315.47,2.62
S023,2025-01-17,2025,706.33,669.83,1.99
S024,2025-01-17,2025,37.24,98.09,-0.74
S025,2025-01-17,2025,169.99,371.90,0.35
S026,2025-01-17,2025,84.08,183.00,4.29
S027,2025-01-17,2025,877.82,849.44,2.80
S028,2025-01-17,2025,0.00,0.00,-0.42
S029,2025-01-17,2025,0.00,0.00,-0.77
S030,2025-01-17,2025,0.00,0.00,1.42
S001,2025-01-18,2025,96.42,204.22,0.40
S002,2025-01-18,2025,60.32,188.13,0.60
S003,2025-01-18,2025,537.81,581.30,1.17
S004,2025-01-18,2025,119.01,202.27,3.40
S005,2025-01-18,2025,83.32,144.39,4.21
S006,2025-01-18,2025,100.09,248.18,3.14
S007,2025-01-18,2025,446.91,544.49,0.98
S008,2025-01-18,2025,20.35,38.96,2.60
S009,2025-01-18,2025,68.55,122.58,2.55
S010,2025-01-18,2025,138.62,346.51,3.64
S011,2025-01-18,2025,563.37,542.58,1.98
S012,2025-01-18,2025,44.08,101.07,0.69
S013,2025-01-18,2025,33.19,61.26,1.94
S014,2025-01-18,2025,161.22,415.52,2.40
S015,2025-01-18,2025,369.39,390.14,3.48
S016,2025-01-18,2025,28.46,67.30,2.24
S017,2025-01-18,2025,27.87,45.03,5.01
S018,2025-01-18,2025,75.08,217.21,3.04
S019,2025-01-18,2025,invalid,793.00,0.17
S020,2025-01-18,2025,48.50,107.82,0.68
S021,2025-01-18,2025,77.55,138.92,-0.53
S022,2025-01-18,2025,73.44,228.58,0.95
S023,2025-01-18,2025,399.02,468.92,-0.97
S024,2025-01-18,2025,24.92,48.37,3.51
S025,2025-01-18,2025,99.81,182.55,1.95
S026,2025-01-18,2025,56.58,143.37,2.63
S027,2025-01-18,2025,585.35,532.39,0.75
S028,2025-01-18,2025,0.00,0.00,4.39
S029,2025-01-18,2025,0.00,0.00,2.95
S030,2025-01-18,2025,0.00,0.00,0.52
S001,2025-01-19,2025,94.75,182.17,2.98
S002,2025-01-19,2025,72.90,214.07,-0.65
S003,2025-01-19,2025,649.33,487.63,5.01
S004,2025-01-19,2025,125.75,278.27,1.47
S005,2025-01-19,2025,84.39,187.27,-0.06
S006,2025-01-19,2025,102.50,213.87,3.34
S007,2025-01-19,2025,524.29,409.44,4.97
S008,2025-01-19,2025,19.72,43.71,2.69
S009,2025-01-19,2025,69.03,162.90,-0.16
S010,2025-01-19,2025,132.32,369.35,2.54
S011,2025-01-19,2025,533.23,507.06,3.48
S012,2025-01-19,2025,46.94,117.04,-0.41
S013,2025-01-19,2025,35.26,54.34,3.65
S014,2025-01-19,2025,154.40,417.04,0.14
